player_id,t_fn,b_fn,similarity,t_frame,t_index,b_frame,b_index
431,23_8.jpg,63_2.jpg,0.9258299,23,8,63,2
301,3_12.jpg,39_4.jpg,0.9258081,3,12,39,4
24,62_3.jpg,89_0.jpg,0.9257854,62,3,89,0
91,52_7.jpg,28_1.jpg,0.9257708,52,7,28,1
93,12_3.jpg,61_1.jpg,0.925761,12,3,61,1
399,7_9.jpg,39_1.jpg,0.9257561,7,9,39,1
65,111_9.jpg,97_0.jpg,0.92574704,111,9,97,0
25,185_9.jpg,107_4.jpg,0.9256752,185,9,107,4
36,194_4.jpg,61_9.jpg,0.92565054,194,4,61,9
35,5_16.jpg,25_9.jpg,0.925632,5,16,25,9
57,36_13.jpg,11_7.jpg,0.9256299,36,13,11,7
4,19_7.jpg,9_6.jpg,0.92562264,19,7,9,6
35,197_15.jpg,25_9.jpg,0.92561734,197,15,25,9
81,105_0.jpg,77_2.jpg,0.9256105,105,0,77,2
429,6_1.jpg,66_3.jpg,0.9256048,6,1,66,3
62,58_3.jpg,13_1.jpg,0.9255992,58,3,13,1
35,135_6.jpg,25_9.jpg,0.9255966,135,6,25,9
92,5_6.jpg,80_2.jpg,0.92559314,5,6,80,2
171,32_0.jpg,69_2.jpg,0.9255822,32,0,69,2
425,69_3.jpg,60_0.jpg,0.9255688,69,3,60,0
425,24_9.jpg,60_0.jpg,0.92548037,24,9,60,0
107,34_7.jpg,7_6.jpg,0.92547566,34,7,7,6
94,200_6.jpg,70_5.jpg,0.9254383,200,6,70,5
4,0_5.jpg,9_6.jpg,0.92541116,0,5,9,6
34,29_8.jpg,98_1.jpg,0.92540246,29,8,98,1
451,34_0.jpg,53_0.jpg,0.9253874,34,0,53,0
188,11_7.jpg,10_0.jpg,0.9253782,11,7,10,0
77,189_15.jpg,96_7.jpg,0.92535555,189,15,96,7
428,4_6.jpg,45_1.jpg,0.925351,4,6,45,1
84,175_9.jpg,117_5.jpg,0.92531896,175,9,117,5
225,126_16.jpg,33_9.jpg,0.9253168,126,16,33,9
57,186_3.jpg,11_7.jpg,0.925311,186,3,11,7
22,76_14.jpg,18_8.jpg,0.9253092,76,14,18,8
128,17_11.jpg,61_0.jpg,0.92529744,17,11,61,0
94,181_0.jpg,70_5.jpg,0.9252345,181,0,70,5
174,135_3.jpg,25_1.jpg,0.92521083,135,3,25,1
77,199_17.jpg,96_7.jpg,0.92520905,199,17,96,7
84,53_2.jpg,117_5.jpg,0.92516816,53,2,117,5
527,85_7.jpg,48_3.jpg,0.92516124,85,7,48,3
24,39_9.jpg,89_0.jpg,0.92512953,39,9,89,0
430,9_12.jpg,58_2.jpg,0.92511237,9,12,58,2
190,20_3.jpg,36_7.jpg,0.92508507,20,3,36,7
57,119_21.jpg,11_7.jpg,0.92507535,119,21,11,7
22,27_14.jpg,18_8.jpg,0.92506564,27,14,18,8
24,83_1.jpg,89_0.jpg,0.9250316,83,1,89,0
8,37_12.jpg,12_2.jpg,0.9250065,37,12,12,2
35,44_19.jpg,25_9.jpg,0.92500424,44,19,25,9
427,35_3.jpg,101_1.jpg,0.9249317,35,3,101,1
35,46_8.jpg,25_9.jpg,0.92492247,46,8,25,9
91,13_15.jpg,28_1.jpg,0.9249159,13,15,28,1
469,42_7.jpg,50_1.jpg,0.9249031,42,7,50,1
52,156_15.jpg,82_10.jpg,0.92489314,156,15,82,10
463,65_1.jpg,19_8.jpg,0.92488414,65,1,19,8
47,141_0.jpg,43_0.jpg,0.92483926,141,0,43,0
320,23_0.jpg,57_3.jpg,0.92483926,23,0,57,3
8,59_0.jpg,12_2.jpg,0.9248327,59,0,12,2
108,140_10.jpg,36_8.jpg,0.9248322,140,10,36,8
7,81_15.jpg,26_8.jpg,0.92482513,81,15,26,8
503,66_1.jpg,101_2.jpg,0.92481875,66,1,101,2
6,116_11.jpg,33_4.jpg,0.92480475,116,11,33,4
47,140_0.jpg,43_0.jpg,0.9247831,140,0,43,0
100,31_4.jpg,77_4.jpg,0.9247781,31,4,77,4
107,21_7.jpg,7_6.jpg,0.9247568,21,7,7,6
19,150_2.jpg,7_1.jpg,0.9247551,150,2,7,1
94,197_12.jpg,70_5.jpg,0.9247496,197,12,70,5
180,11_10.jpg,18_6.jpg,0.92474085,11,10,18,6
198,70_13.jpg,110_6.jpg,0.9247302,70,13,110,6
19,18_0.jpg,7_1.jpg,0.9247246,18,0,7,1
59,104_2.jpg,80_0.jpg,0.92471266,104,2,80,0
228,4_7.jpg,17_1.jpg,0.9246942,4,7,17,1
4,1_8.jpg,9_6.jpg,0.92465615,1,8,9,6
8,25_17.jpg,12_2.jpg,0.9246542,25,17,12,2
